B07CVPKD8Z,BN LINK Monitoring Function Compatible Assistant,"APP Control
Turn home appliances on or off from anywhere in the world with your smartphone using the BN-LINK app
APP Control Share Device Group Control Timer Function
Compare with Similar Items
BN-LINK Smart Plug Outlet
BN-LINK WiFi Outdoor Plug
BN-LINK Light Switch
BN-LINK Smart Dimmer
BN-LINK Wi-Fi Outlet
BN-LINK Smart Dimmer Plug
Indoor/Outdoor Indoor Indoor and Outdoor Indoor Indoor Indoor Indoor and Outdoor
Plug In/In-Wall Plug In Plug In In-Wall In-Wall In-Wall Plug In
Compatible with Alexa
Work with Google Assistant
Package includes 2 pack 1 pack 1 pack 1 pack 1 pack 1 pack",BN-LINK,BNLINK,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51FpsvJlDAS._AC_SX466_.jpg,https://www.amazon.com/BN-LINK-Monitoring-Function-Compatible-Assistant/dp/B07CVPKD8Z/ref=sr_1_25?keywords=smart+plug+wifi&qid=1701909846&sr=8-25
B0B6P2C1ZC,Amysen Outlet Control Function Required,"Smart Plug Amysen
Amysen Smart Plug 2.4GHz WiFi Only
Works with Alexa
Works with Google Assistant
Schedule
Timer
Group Control
Countdown function
Share to Families
Smart Plug
Size: 50mm*50mm*50mm
Max Load/Max Power: 10A, 1250W
Material: Flame retardant PC
Compatible with: Alexa/Google Home
Certification: ETL, FCC
Stable Wi-Fi Connect: Within 160ft & 3 walls
Indoor or Outdoor: indoor
Simple Set UP
Timer Schedule
Every single time-set those up on a schedule serve you according to your daily routine and preferences. Turn off the light after you go on the bed, or get a coffee even before you're out of bed.
Away Mode
Improve your home security by turning appliances like lamps on and off at random intervals to make it look like youre home even when youre not.
Voice Control
Use simple voice commands with your smart plug and any Alexa, Google Assistant or Microsoft Cortana. Turn off your lamp without ever leaving your bed or touching your phone.
Wireless Control from Anywhere
With Amysen smart plug, you can create scene modes, scheduling your home devices on/off at sunrise/sunset automatically before you leave home or back home. Add your fan to Scene Schedule List,It can be turned on automatically when the temperature is high even though youre sleeping. Running your house smarter and effectively.
Voice Control with Voice Assistants
When Alexa and Google Home sync with Cloud Intelligence App, Amysen smart plug gives hands-free voice control with Amazon Alexa and Google Home to turn on/off your lamps, appliances or your devices group all over your home. Just using your voice to command and you will get what you want: Alexa, turn on the lights. Okay.
Timer Schedule and Countdown on App
Cloud Intelligence App compatible with iOS and Android smart phone. Sets multiple Timer Schedules and Countdown on App to turn on/off your fan, coffee maker, lamps at your pre-set time, say goodbye to multi-time click switch by hands. lets you do amazing things with your computer and phone.
Scene Modes with Smart Home
With Amysen smart plug, you can create scene modes, scheduling your home devices on/off at sunrise/sunset automatically before you leave home or back home. Add your fan to Scene Schedule List,It can be turned on automatically when the temperature is high even though youre sleeping. Running your house smarter and effectively.",Amysen,CLOUDINTELLIGENCE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51eoWiStHsL._SX522_.jpg,https://www.amazon.com/Amysen-Outlet-Control-Function-Required/dp/B0B6P2C1ZC/ref=sr_1_26?keywords=smart+plug+wifi&qid=1701909846&sr=8-26
B07QPZ5WMW,KMC Required Appliances Anywhere Certified,"Voice Control
Set up your Smart Plug Mini and app with Amazons Alexa or Google Home for the added convenience of voice control.
Alexa, turn on bedroom lamp
Hey Google, turn off kitchen light
Control Your Devices from Anywhere
KMC Smart Plug Mini (15A 125V 60Hz 1875W)
Smart Plug Mini can controlled whenever and wherever! The KMC Mini Wi-Fi Smart Plug provide wireless control of your lights and appliances. No hub is required: compact mini smart plug connect devices control your device using phone. Using KMC Smart app, you can turn your devices on and off. Additional features like Away Mode and device sharing give your whole family fuller and brighter benefits.
Notes: After a power outage, outlets will retain their most recent setting to save energy.
Remote Control
Schedules & Automation
Device Sharing
KMC Smart App
Voice Control with Alexa & Google Home
Control from Anywhere
A table lamp accidentally left on at home doesnt have to be a problem or source of anxiety. Simply use the free KMC Smart App to control your devices from the couch, the coffee shop, or the Caribbean.
Keep Your Kids on Schedule
With the scheduling benefits of your Smart Plug Mini, you have better control over your childs daily activities. Make sure the television is turned off when they should be doing homework, and help make sure your kids are well-rested and ready for the next day.
Pretend You are at Home
Have the Smart Plug work for you when youre out of town. Connecting a lamp to your smart plug can provide home security benefits. Setup your smart plugs with a schedule or automation, and your Smart Plug Mini will automatically turn your lights on or off to give the appearance that someone is home.",KMC,KMC,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61pYQz04ifL._AC_SX679_.jpg,https://www.amazon.com/KMC-Required-Appliances-Anywhere-Certified/dp/B07QPZ5WMW/ref=sr_1_27?keywords=smart+plug+wifi&qid=1701909846&sr=8-27
B0B2PFFDKF,EIGHTREE Compatible SmartThings Control Function,"Schedule Your Home Voice Control Remote Control Group Control
1 How to Connect 2 How to Link to Alexa
App Features Convenient Functions
Small tips for a successful network connection?
How can I connect to my dual-band router?
What should I do about after-sales issues?",EIGHTREE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61w-p1yeuLL._SX522_.jpg,https://www.amazon.com/EIGHTREE-Compatible-SmartThings-Control-Function/dp/B0B2PFFDKF/ref=sr_1_28?keywords=smart+plug+wifi&qid=1701909846&sr=8-28
B07WNKQ28B,HBN Grounded Smartlife Compatible Assistant,"HBN is a brand owned by Century Products, a distributor of premium quality home improvement products, including smart plugs, indoor and outdoor timers, indoor and outdoor outlet switches, remote control outlets, heating and cooling thermostat controllers. Every purchase of a HBN product comes with:
Quick and friendly customer support
Quality and reliability you can trust
HBN Outdoor Weatherproof Smart WiFi Electrical Outlet Switch (Black) 3 Grounded Outlets
Seamlessly control your home's outdoor lights, decor, fountains, and more all with your phone!
1x HBN Outdoor WiFi Smart Plug
Connect with the HBN Smart Wifi Plug with the SmartLife or TuyaSmart app
Having trouble connecting with your WiFi? Try AP Mode
Weather Resistant
HBN smart outlet is water resistant. Great for outdoor use. Please place the plug as least 2 feet off the ground with the plug pointing straight down to avoid water damage.
Hands Free Control
The HBN Outdoor Wi-Fi Smart Plugs is compatible with Alexa and Google Home. After connecting the smart plugs with HBN Smart, you can sync the smart plugs with Alexa and Google Home and use voice commands!
Control from Anywhere
With the HBN Outdoor Wi--Fi Smart Plugs, you can control any lights and settings for any space. Plug the smart plug anywhere and control the smart plug anywhere as long as the phone has Wi-Fi.
Schedule Function
Schedule your Wi-Fi plug to turn on or off at designated times. No more forgetting about turning off your lights.
Control Your Decoration
Use the HBN Outdoor Wi-Fi Smart Plugs for your decorations. Use the Wi-Fi smart plugs to connect to any apparatus needed for any outdoor appliance.
The Rating are as follows: 1875W/ 15A, 625W Tungsten / 5A, 1/2 HP
For Everyday Outdoor Use
Have lights outdoor that you need to control? Simply use the schedule feature in the HBN Smart app and set the times you need your patio lights on and off. Maintenance and hassle free.
Outdoor Smart Plug Outdoor Smart Outlet Smart Yard Stake Remote Control Outlet Remote Control Plug Outdoor Remote Outlet
Works with HBN Smart    X X X
Works with Amazon Alexa    X X X
Works with Google Assistant    X X X
Voice Control    X X X
Remote Control      
No Hub Required      ",HBN,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61QkMcEa+vL._AC_SX679_.jpg,https://www.amazon.com/HBN-Grounded-Smartlife-Compatible-Assistant/dp/B07WNKQ28B/ref=sr_1_29?keywords=smart+plug+wifi&qid=1701909846&sr=8-29
B07SVYJZ5C,Compatible Assistant Required Schedule Function,"Timer and Schedule
You can create schedules / timers /countdowns for connected electronic devices based on your routines.
Loop Timer
You can create a loop timer if you would you like to turn your device on and off repeatedly.
Away Mode
Away Mode will automatically turn on and off connected appliances, like lamps, to make it appear as if you're home.
Share Function
You can share the outlet device to your family members for joint control and function setting of the outlet.
Connect App Step 1-2
1. Turn on the Bluetooth of your mobile phone and open the Nooie App.
2. Nooie app will automatically find the device, and a prompt box will pop up, please click ""Connect"".
Connect App Step 3-4
3. Enter your Wi-Fi account and password.
4. Wait for the connection, the indicator will turn off after the connection is successful.
Connect to ALEXA Step 1-4
1.Tap Menu button (three lines) on the low right of Alexa app.
2.Select ""Skills & Game"" from the menu.
3.Enter ""Nooie Home"" in the search bar and tap on it.
4.Tap ""ENABLE TO USE"".
Connect to ALEXA Step 5-6
5. Select your country/region, enter your Nooie account and password, then tap ""Log In"".
6. Tap ""Authorize"" and you will see Your Nooie Home accounthas been successfully linked .
Bluetooth Smart Plug Bluetooth Smart Plug HomeKit Smart Plug HomeKit Smart Plug
Pack 4 2 4 2
Smart Life&Nooie App    
Works with Apple HomeKit  
Works with Alexa&Google Assistant    
Bluetooth Connection    
Remote&Timing    ",nooie,NOOIE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/515OZrBCvUL._SY500_.jpg,https://www.amazon.com/Compatible-Assistant-Required-Schedule-Function/dp/B07SVYJZ5C/ref=sr_1_31?keywords=smart+plug+wifi&qid=1701909846&sr=8-31
B07B8W2KHZ,TP LINK HS103P2 Required Google Assistant,"Voice Control
Free up your hands by using simple voice commands with Alexa and Google Assistant.
Voice Control Control from Anywhere Grouping
Smart Actions
Create interactions with your plug and other Kasa products. Connect a lamp to your plug so that when your camera detects motion, your light turns on.
App Features
Scheduling
Schedule your connected devices to turn on and off automatically at specified times.
Count Down Timer
Set a timer for your connected appliance to automatically turn off when the time runs out.
Away Mode
Away Mode will automatically turn on and off connected appliances, like lamps, to make it appear as if you're home.
Run Time & Usage
View run times to track usage and cut down on energy consumption.
Simple Setup",Kasa Smart,KASA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61mNHFdgj3L._SX522_.jpg,https://www.amazon.com/TP-LINK-HS103P2-Required-Google-Assistant/dp/B07B8W2KHZ/ref=sr_1_32?keywords=smart+plug+wifi&qid=1701909846&sr=8-32
B09B31S2VG,KMC 2 Outlet Independently Controlled Assistant,"2 SMART PLUGS IN 1: With 2 smart outlets, you can independently power and control two devices. VOICE CONTROL: Easily link with Alexa or Google to control your devices with your voice. SCHEDULING & AUTOMATION: The KMC Smart app allows you to automate your connected devices based on conditions like time, sunrise/sunset, weather and more. EASY SETUP & SHARING: Simply download the KMC Smart app and follow the in-app instructions to get started. With a few taps you can share control of your devices with family and friends. SAFETY & WARRANTY: UL/ETL Certified. Lifetime Warranty. US-based Customer Support. ELECTRICAL RATINGS: 15A 125V 60Hz 1875W",KMC,KMC,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/31UYGbQ7-qL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.com/KMC-2-Outlet-Independently-Controlled-Assistant/dp/B09B31S2VG/ref=sr_1_33?keywords=smart+plug+wifi&qid=1701909846&sr=8-33
B0B6VWJFBF,Outlet Compatible Smartthings Control Function,"Voice Control Timer & Schedule Device Sharing
How to connect smart plug?
What to do when connection fails
How do I use the plug to work with third-party voice assistants?
What should I do if my smart hom plug is broken?",EIGHTREE,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/511Xqk4lSrL._SX522_.jpg,https://www.amazon.com/Outlet-Compatible-Smartthings-Control-Function/dp/B0B6VWJFBF/ref=sr_1_35?keywords=smart+plug+wifi&qid=1701909846&sr=8-35
B01DBXNYCS,Insight Monitoring Enabled Anywhere Assistant,"Wemo Insight WiFi Smart Plug
Monitor your energy costs and control your home from anywhere with the Wemo Insight WiFi Smart Plug. Using your existing home WiFi network, this Smart Plug allows you to control your lights and appliances and set worry-free schedules from a phone or tabletwith no hub or subscription required. The Insight Smart Plug also provides real-time energy reports to show how much energy your devices are consuming, so you can easily track how much your lights and appliances are costing you.
Wemo Insight WiFi Smart Plug
Easy-Setup
Supports high power appliances
Monitor Energy Usage
With its real-time energy reports, Wemo Insight helps you learn how much energy your devices are consuming. Use the Smart Plug to track how much energy an appliance consumes, such as how much that space heater is costing you.
Set Schedules and Timers
Wemo Insight lets you set worry-free schedules for your lights and appliances. Using the free Wemo App, you can schedule a lamp to turn on at sunset, or keep your house comfortable by scheduling a fan to turn on before you arrive.
Protect your Home
When you use 'Away Mode,' Wemo Insight will turn plugged-in lights on and off randomly to create the illusion that youre home even when youre not.
Control from Anywhere
Wemo Insight lets you wirelessly control plugged-in devices from anywhere. Simply use the free Wemo App to control your devices from the couch, the coffee shop, or the Caribbean.
Works with Apple HomeKit
Wemo is compatible with Apple HomeKit. Simply connect Wemo Bridge (sold separately) to your router, add it to the Apple Home app, and control your Wemo lights using the Apple Home app and Siri on an iPhone, iPad, Apple Watch, or HomePod.
Works with Amazon Alexa
Wemo works seamlessly with Alexa to give you hands-free voice control over your lights and devices. Enable the Wemo skill and pair Wemo Insight with Alexa to turn any plugged-in device on or off with just the power of your voice.
Works with the Google Assistant
Wemo works with the Google Assistant, allowing you to control your lights using your Google Home devices, your Android or iPhone, or any other device with built-in Google Assistant support. Youll enjoy seamless, intuitive voice control over any device thats connected to Wemo Insight.
More Features with IFTTT
'If This, Then That' is a free web-based service that lets you do amazing things with your Wemo. Turn lamps, coffee makers, fans, and other electronics on before you get home or off when you leave. With IFTTT, Wemo Insight can even flash the lights when your favorite team scores a goal.
Mini Insight Switch Light Switch Dimmer Light Switch 3-Way
WiFi Enabled/Control From Anywhere     
Works with Voice     
Away Mode     
Night Mode  
Set Schedules/Timers     
Energy Monitoring 
Design Plug-In Plug-In In-Wall In-Wall In-Wall
Control In-Wall Lights/Fans On/Off Dimmable On/Off
No Hub Required     
3-Way Compatible ",WeMo,WEMO,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51YzPFXbw6L._AC_SX679_.jpg,https://www.amazon.com/Insight-Monitoring-Enabled-Anywhere-Assistant/dp/B01DBXNYCS/ref=sr_1_37?keywords=smart+plug+wifi&qid=1701909846&sr=8-37
B09KKXT4J3,BN LINK Compatible Control Function Required,"Free up your hands by using simple voice commands with Alexa.
Voice Control Grouping Control from Anywhere
Scheduld Function
You can set the time to turn on and off the device through the BN-LINK APP
Set Timers
Set a timer for your connected appliance to automatically turn off when the time runs out.
Which app should I download? BN-LINK APP or BN-LINK Smart APP?
How do I add my smart plug to the BN-LINK APP?
Will this device automatically select the 2.4GHz on a dual band 2.4/5GHz network ? I cant turn off the 5GHz.
Compare with Similar Items
WiFi Smart Plugs 2P
Bluetooth Smart Plugs 2P
WiFi Smart Plugs 2P
WiFi Smart Plugs 1 Outlet
WiFi Smart Plugs 2 Outlet
WiFi Smart Plugs 3 Outlet
Connection Type
WiFi2.4Ghz Bluetooth Mesh WiFi2.4Ghz WiFi2.4Ghz WiFi2.4Ghz WiFi2.4Ghz
Indoor/Outdoor
Indoor Indoor Indoor Outdoor Outdoor Outdoor
APP Download
BN-LINK APP Alexa APP BN-LINK Smart APP BN-LINK Smart APP BN-LINK Smart APP BN-LINK Smart APP
Compatible Devices
Alexa & Google Assistant Alexa Only - No Echo (1st Gen) Alexa & Google Assistant Alexa & Google Assistant Alexa & Google Assistant Alexa & Google Assistant
Voice Control
     
Number of Outlets
1 1 1 1 2 3",BN-LINK,BNLINK,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/518j0D6zfJL._SX522_.jpg,https://www.amazon.com/BN-LINK-Compatible-Control-Function-Required/dp/B09KKXT4J3/ref=sr_1_38?keywords=smart+plug+wifi&qid=1701909846&sr=8-38
B0C371HB66,Linkind SmartThings Automation Control Schedule,"Easy Setup, One Control
Skip downloading different manufacture's app
Head straight to smart home platforms like Apple Home, Alexa, Google Home, SmartThings, or AiDot to control all your Matter devices
Upgrade your home Version Update
TIPS: Matter-certified controller (HomePod, Echo, Nest, SmartThings Hub) is required to control Matter bulb in Apple Home/Alexa/Google Home/SmartThings platforms. Alternatively, you can control the bulb directly in AiDot app platforms without the need for a separate hub.
Timer and Schedule APP Remote control
Name each plug and control them with ease using voice commands.
Name Each Specailly Voice Control Separately Group Control All
Reset the Device
Press and hold the button
Wait for 5 seconds until the red light remains on (The red light will flash for 1.5 to 5 seconds)
Release the button
Successfully restarted",Linkind,AIDOT,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/31MLZR7oR5L._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.com/Linkind-SmartThings-Automation-Control-Schedule/dp/B0C371HB66/ref=sr_1_39?keywords=smart+plug+wifi&qid=1701909846&sr=8-39
B0BFVYX4JQ,ELEGRP Waterproof Individually Assistant Certified,"ELEGRP PQR20 Outdoor Smart Plug
Play Video
1 IP66 Waterproof 2 Weather Resistant 3 Individual Control
Looks Waterproof, Acts Super Waterproof
Smarter to Control Your Lights
Voice Control App Remote Control Flexible Schedule Long-range WiFi
Your Convenience, Your Command
String Lights
Control hundreds of feet of LED string lights to make your outdoor space more inviting.
Meet Your Smart Yard
Experience the delight of returning to a home alive with light.
Smart Patio and Garden Control
Control the pool pumps, pool filters, sprinklers and fountains, etc., without worrying about short circuits caused by splashing water and damp.
Holiday Decorations
Easily control your outdoor holiday decorations at one touch in the App, from inside of your home.
Small in Size, Big in Quality
ELEGRP Smart Plug Comparison
Outdoor Smart Plug PQR20
Smart Dimmer Plug PQR11
Outdoor Smart Plug PQR10
Smart Dimmer Plug PQR21
Smart Dimmer Plug PQR22
Dim Your Light
No Yes No Yes Yes
Socket number
Two One One Two (One Dimmer Socket) Two
Rating
125V AC 15A 60Hz 120V AC 60Hz 125V AC 15A 60Hz 125V AC 15A 60Hz 125V AC 60Hz
Load Capacity
1875W Max in Total INC/HAL 400W; LED/CFL:150W 1875W Max in Total INC 400W, LED/CFL 150W / 1475W INC 250W, LED/CFL 150W
Waterproof Level
IP66 IP66 IP66 IP66 IP66
Certified
UL, FCC UL, FCC UL, FCC UL, FCC UL, FCC",ELEGRP,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71zOBquGquL._SX522_.jpg,https://www.amazon.com/ELEGRP-Waterproof-Individually-Assistant-Certified/dp/B0BFVYX4JQ/ref=sr_1_40?keywords=smart+plug+wifi&qid=1701909846&sr=8-40
B0CHW3Z6ND,Filotimo Assistant Controller Monitoring Activation,"Remote Control & Smart Timing: Manage your home appliances from anywhere using your smartphone with the Gosund/Smart Life/TUYA app. Control devices effortlessly, whether you have an iOS or Android device. Efficient Energy Management: Plan specific on/off schedules for appliances in any room, helping you save on electricity bills and reduce energy consumption. Voice Control: Enjoy hands-free convenience with Alexa and Google Assistant compatibility. Easily control your smart plug with voice commands. Intelligent Grouping & Real-Time Monitoring: Group your Google home outlets for seamless control. Monitor energy usage to ensure efficient and safe operation of your devices. Family Sharing: Share your Alexa and Wi-Fi plug with all family members, providing them with easy control access. Power Monitoring: Keep an eye on energy usage and device power consumption, empowering you with accurate insights.",Filotimo,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/510mnZstYaL._SX522_.jpg,https://www.amazon.com/Filotimo-Assistant-Controller-Monitoring-Activation/dp/B0CHW3Z6ND/ref=sr_1_41?keywords=smart+plug+wifi&qid=1701909846&sr=8-41
B0C9H2MK7T,Eightree 2 4GHz Outlet Control Compatible,"How to Connect My Smart Plug?
What to Do When Connection Fails
How do I use the plug to work with third-party voice assistants?
What should I do if my plug is broken?",EIGHTREE,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51YdkAbqBaL._SX522_.jpg,https://www.amazon.com/Eightree-2-4GHz-Outlet-Control-Compatible/dp/B0C9H2MK7T/ref=sr_1_42?keywords=smart+plug+wifi&qid=1701909846&sr=8-42
B0CDQJXVK5,Feit Electric Compatible Required Anywhere,"Free Feit Electric App
Easily download and install the easy to use Feit Electric app. Simply connect to your WiFi, and control your devices from anywhere!
iOS 9.3 +
Android 4.4
Quick and easy setup
Required 2.4 GHz WiFi
No hub required
No subscription required
Your Home, Turned Smart
A smarter, more convenient way to live
Turn any home appliance smart! Use the indoor and outdoor plugs to conveniently control any appliance from coffee machines to lights, and outdoor holiday dcor to water fountains simply by using a smartphone or with voice command.
Set schedules and timers
Control devices remotely
Works with Amazon Alexa, Google Assistant
Control with voice
Device sharing
Grouping
Outdoor plugs are weather resistant
Connect with AP mode if you are having challenges connecting our smart lights/bulbs to your router
Feit Electric Smart Indoor and Outdoor Plugs to Make Your Everyday Life Easier
Turn Your Home Into A Smart Home
Connect your indoor or outdoor appliances and have them work based on your everyday schedule. Use the smart indoor plugs to control heaters, fans, lights, or the outdoor plugs to control your holiday lights, string lights, ponds, fountains, and more!
Set Schedules and Timers
Have your coffee machine ready to work right when you wake up, have your outdoor string lights turn on at dusk, have your indoor lights turn on as soon as you arrive home, get your heaters and fans to turn off at a certain time. With the Feit Electric smart indoor and outdoor plugs you can have all your devices scheduled to turn on or off at a certain time.
Control Remotely
The Feit Electric indoor and outdoor smart plugs give you the convenience of controlling your home from anywhere whether you're a long way from home on vacation, or at your local grocery store.
Use Voice Commands
No hands required. Our smart indoor and outdoor plugs are compatible with Google Assistant, Amazon Alexa, and Siri Shortcuts so you have full control of your devices even when you're hands are full.
Enjoy All Year Round
The Feit Electric indoor and outdoor plugs will make your life convenient all year round. Whether you are enjoying a summer night out or staying in during a cold night, you can easily plug your devices into the Feit Electric smart plugs so you can conveniently turn any device smart. These plugs are ideal for controlling your holiday decorations, or for setting the mood during your gatherings.
Enjoy A Smart Life, Energy Efficient Life
Smart, energy-efficient living starts with Feit Electric smart indoor and outdoor plugs. These plugs help save energy and money on your electric bill. How? Set schedules and timers to have your lights turn off so you'll never use more energy than is required.
PLUG/WIFI PLUG/WIFI/WP PLUG/WIFI/STK/WP DIM/WIFI
Product Dimensions 1.6 x 1.5 x 2.6 inches 1.6 x 1.5 x 2.6 inches 4.86 x 4.86 x 8 inches 5 x 3 x 1.8 inches
# of Outlets 1 2 6 N/A
Indoor/Outdoor Indoor Outdoor Outdoor Indoor
Connectivity Wi-Fi 2.4 GHz Wi-Fi 2.4 GHz Wi-Fi 2.4 GHz Wi-Fi 2.4 GHz
Compatible with Google Assistant    
Compatible with Amazon Alexa    
Control Remotely    
Additional Features Ideal for home appliances, lights, and more. Turn on/off, set schedules & timers, combine smart bulbs, plugs, and switches for more convenient access. Ideal for outdoor application like holiday lighting, landscape lighting or other outdoor appliances. Weather resistant. Combine devices together for more convenient access. Ideal for outdoor application like holiday lighting, landscape lighting or other outdoor appliances. Weather resistant. Combine devices together for more convenient access. Works with all dimmable incandescent, halogen, CFL or LED light bulbs. Group up to 20 smart dimmers via WiFi. Create master dimmer to control all other dimmers. Decorative wall plate included.",Feit Electric,FEITELECTRIC,"https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/414Yrwmuj+L._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg",https://www.amazon.com/Feit-Electric-Compatible-Required-Anywhere/dp/B0CDQJXVK5/ref=sr_1_43?keywords=smart+plug+wifi&qid=1701909846&sr=8-43
B07R6CT3G7,Control Aoycocr Function Required Network,"Auto Connection via Bluetooth
Easier and stable for experiencing for managing your smart home. (Compatible Smart Life app too.)
POPOTAN app is powered by Smart Life for making easier connections for all smart devices via Bluetooth Technology on your smartphone.
Input: 110VAC, 60Hz 10A
Max Output: 10A Max.
Bluetooth Standard: BLE5.0 (compatible BLE4.0)
APP supports operating system: Android 4.1 \ IOS 8.0 version and above.
Aoycocr Mini Bluetooth Wifi Smart Plug
The 1 Tap Bluetooth Connection allow you manage your smart home more easier.
With the Aoycocr smart Bluetooth wifi plug let you can manage fans, lamps, and other small electronics up to 10 AMPs from anywhere with the POPOTAN App. Using simple voice commands with Alexa, Google Home Assistant conveniently from your smart phone. Enjoy Your Smart Life.
The 1 tap bluetooth Wi-Fi connection
Works with Amazon Alexa.
Compatible with Google Assistant.
Set Timer & Schedule.
Create Group.
Share to Families.
Create Smart Scenario.
Aoycocr Mini Smart Plug Main Functions
Work with Amazon Alexa, Google Assistant
You can use voice to control your smart devices with Alexa or Google Home Assistant.
For example, say Alexa, turn on the lamps.
Remotely Control Devices From Everywhere
You can turn on/off connected home electric devices wherever you are at any time through your smart phone.
Schedule/Timer Function On SmartPhone
You can use the POPOTAN app to create schedules / timer to automatically power on/off your appliances.
Create Smart Scenario On Smart Phones
With POPOTAN app, expand your smart home ecosystem and enjoy automation experience, like group your smart plugs, smart dimmer plug, smart fairy lights create 'Scenes'.
Connection Guide
Connection Steps
Step 1 Search ""POPOTAN"" on App store, Google Play or Scan the QR code on user manual to download and install it.
Step 2Set up your POPOTAN account and plug Aoycocr wifi smart plug into an AC outlet.
Step 3Add Device automatically via Bluetooth function.
Note: All Aoycocr Devices are compatible with Smart Life / Tuya App at the same time.
Wi-Fi Connection Tips
Step 1: You can check the label on the router to see the frequency type, this plug outlet is suitable for ""Dual Band"" or ""Single Band 2.4GHz"".
Step 2: The Wi-Fi frequency can be modified by logging into the ""Management Interface"" on the router. The frequency needs to be set to 2.4GHz in order to connect to the smart plug successfully.
Amazon Alexa Tips
Step 1: Log into the Alexa App, tap Skills, and search Popotan in the input box.
Step 2: Click Enable skill, and input your POPOTAN SMART user name and password
Step 3: Simply use voice commands like ""Alexa, turn on the lights"" to control your devices.
Aoycocr Wifi Smart Plugs Aoycocr Wifi & Bluetooth Smart Plugs Aoycocr Smart Outdoor Dimmer Aoycocr Smart Candelabra Bulbs Aoycocr Smart Flood Bulb Smart Fairy lights
Model X5P BX5P X19 Q2SCWM Q10SCWM MSL2
Bluetooth Connection BLE5.0 compatible BLE4.0 BLE5.0 compatible BLE4.0 BLE5.0 compatible BLE4.0 BLE5.0 compatible BLE4.0 BLE5.0 compatible BLE4.0
Wifi Conection 2.4Ghz 2.4Ghz 2.4Ghz 2.4Ghz 2.4Ghz 2.4Ghz
Works with Amazon Alexa      
Works with Google Home      
Scheduling & Timer      
Group Control      
Create Smart Scenario      
Music Sync   ",Aoycocr,AOYCOCR,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61ybfQmzOOL._SX522_.jpg,https://www.amazon.com/Control-Aoycocr-Function-Required-Network/dp/B07R6CT3G7/ref=sr_1_44?keywords=smart+plug+wifi&qid=1701909846&sr=8-44
B08LN3C7WK,Kasa Energy Monitoring Smart Plug,"Energy Monitoring Voice Control Schedule and Timer
Smart Actions
Create interactions with your plug and other Kasa products. Connect a lamp to your plug so that when your camera detects motion, your light turns on.
App Features
Control from Anywhere, Anytime
Not sure if you switched your curling iron off after leaving home? Doulble check and control it remotely to save energy and avoid electrical hazards.
Space-saving Design
Compared to older Kasa energy monitoring plug HS110, the new plug has smaller size to leave the adjacent sockets free.
Away Mode
Enable away mode to randomly switch on and off to trick potential intruders.
Group Control
Use Group to combine your smart plug with other Kasa Smart devices for seamless control with one single tap on your smartphone.
Frustration-Free Setup",Kasa Smart,KASA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61+Yr4-FRXL._AC_SX679_.jpg,https://www.amazon.com/Kasa-Energy-Monitoring-Smart-Plug/dp/B08LN3C7WK/ref=sr_1_45?keywords=smart+plug+wifi&qid=1701909846&sr=8-45
